GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library,net.mooctest,AccountStatus,0,34,0,0,0,4,0,1,0,1
Library,net.mooctest,BlacklistedUserException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,Book,9,198,1,15,3,62,2,25,1,18
Library,net.mooctest,CreditRepairService,0,26,0,4,0,7,0,4,0,2
Library,net.mooctest,AccountFrozenException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,BookNotAvailableException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,InsufficientCreditException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,User,11,334,4,34,3,78,4,33,0,18
Library,net.mooctest,BorrowRecord,0,136,1,11,0,37,1,14,0,9
Library,net.mooctest,InvalidOperationException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,InventoryService,0,54,0,4,0,14,0,5,0,3
Library,net.mooctest,BookType,0,44,0,0,0,5,0,1,0,1
Library,net.mooctest,OverdueFineException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,AutoRenewalService,10,36,2,6,2,10,2,4,0,2
Library,net.mooctest,Library,0,252,0,10,0,56,0,13,0,8
Library,net.mooctest,UserType,0,54,0,0,0,6,0,1,0,1
Library,net.mooctest,EmailException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,ExternalLibraryAPI,3,23,0,0,1,4,1,2,1,2
Library,net.mooctest,SMSException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,VIPUser,11,226,3,23,3,52,3,16,0,6
Library,net.mooctest,ReservationNotAllowedException,0,4,0,0,0,2,0,1,0,1
Library,net.mooctest,NotificationService,0,102,0,10,0,24,0,10,0,5
Library,net.mooctest,Reservation,0,77,1,9,0,22,1,9,0,5
Library,net.mooctest,RegularUser,6,257,2,28,2,55,2,18,0,5
